road,id,model_type,condition,name,lat,lon,length
N1,280,bridge,B,LRP125a,23.192111,91.318555,9.5
N1,281,link,,LRP126,23.191,91.319249,523.0
N1,282,bridge,B,LRP126a,23.186694,91.321249,3.1
N1,283,link,,LRP126b,23.186611,91.321277,465.0
N1,284,link,,LRP127,23.182638,91.321083,614.0
N1,285,bridge,A,LRP127a,23.17736,91.319805,9.5
N1,286,link,,LRP128,23.172916,91.320527,546.0
N1,287,bridge,B,LRP128a,23.168138,91.32136,6.3
N1,288,link,,LRP128b,23.168055,91.32136,440.0
N1,289,link,,LRP129,23.164139,91.321499,792.0
N1,290,bridge,B,LRP129a,23.157167,91.322499,3.5
N1,291,link,,LRP130,23.155417,91.323277,632.0
N1,292,bridge,B,LRP130a,23.149694,91.325499,6.1
N1,293,link,,LRP130b,23.148027,91.326499,99.0
N1,294,link,,LRP131,23.147166,91.326694,421.0
N1,295,bridge,B,LRP131a,23.143389,91.326666,3.0
N1,296,link,,LRP132,23.138222,91.326305,102.0
N1,297,bridge,B,LRP132a,23.137416,91.326472,4.5
N1,298,link,,LRP133,23.129583,91.328499,70.0
N1,299,bridge,B,LRP133a,23.129083,91.328722,5.3
N1,300,link,,LRP133b,23.123499,91.331138,255.0
N1,301,link,,LRP134,23.121333,91.332055,248.0
N1,302,bridge,A,LRP134a,23.119305,91.332999,6.1
N1,303,link,,LRP135,23.119138,91.333083,1000.0
N1,304,link,,LRP136,23.111361,91.337805,75.0
N1,305,bridge,A,LRP136a,23.110806,91.338139,3.1
N1,306,link,,LRP136b,23.105111,91.341361,205.0
N1,307,link,,LRP137,23.1035,91.34225,368.0
N1,308,bridge,A,LRP137a,23.100583,91.343777,3.5
N1,309,bridge,B,LRP137b,23.096194,91.346111,14.2
N1,310,link,,LRP138,23.095583,91.346444,688.0
N1,311,bridge,B,LRP138a,23.090111,91.349416,6.1
N1,312,link,,LRP139,23.087611,91.350889,345.0
N1,313,link,,LRP139a,23.084972,91.352472,527.0
N1,314,link,,LRP139b,23.080805,91.354861,17.0
N1,315,link,,LRP139c,23.080694,91.354944,193.0
N1,316,link,,LRP140,23.079249,91.355833,766.0
N1,317,bridge,B,LRP140a,23.073249,91.359417,4.0
N1,318,link,,LRP141,23.071249,91.359972,275.0
N1,319,link,,LRP141a,23.06886,91.360722,611.0
N1,320,link,,LRP141b,23.063694,91.361639,18.0
N1,321,link,,LRP142,23.063528,91.361639,230.0
N1,322,bridge,A,LRP142a,23.061472,91.361667,10.8
N1,323,link,,LRP143,23.053861,91.363722,500.0
N1,324,bridge,A,LRP143a,23.047944,91.365139,1.6
N1,325,link,,LRP144,23.044972,91.365361,196.0
N1,326,link,,LRP144a,23.042777,91.365444,336.0
N1,327,link,,LRP144b,23.039805,91.365611,468.0
N1,328,link,,LRP145,23.036027,91.36575,735.0
N1,329,bridge,A,LRP145a,23.029416,91.365639,3.4
N1,330,link,,LRP146,23.026972,91.3655,240.0
N1,331,link,,LRP146a,23.024833,91.365528,761.0
N1,332,link,,LRP147,23.01936,91.369777,151.0
N1,333,link,,LRP147a,23.018527,91.370833,724.0
N1,334,link,,LRP147b,23.014083,91.375972,125.0
N1,335,link,,LRP148,23.013278,91.376944,614.0
N1,336,bridge,A,LRP148a,23.009556,91.38136,1.5
N1,337,link,,LRP150,23.001889,91.392055,1000.0
N1,338,link,,LRP151,22.996389,91.399805,85.0
