id,road,name,lat,lon,length,condition,constructionYear,model_type,quality_score
114,N1,LRP045a,23.5304993,90.7731104,814.9999999999977,,,link,0.0
115,N1,LRP046,23.5308049,90.7811104,53.00000000000438,,,link,0.0
116,N1,LRP046a,23.5307493,90.7816104,3.9,C,1978.0,bridge,2.0
117,N1,LRP046b,23.530666,90.7821938,773.0000000000032,,,link,0.0
118,N1,LRP046c,23.5312216,90.7895552,107.99999999999699,,,link,0.0
119,N1,LRP047,23.531166,90.7907219,954.9999999999983,,,link,0.0
120,N1,LRP047a,23.5306938,90.7924441,6.5,C,1988.0,bridge,2.0
121,N1,LRP048,23.5308604,90.8002222,402.9999999999987,,,link,0.0
122,N1,LRP048a,23.5308882,90.8041389,20.000000000003126,,,link,0.0
123,N1,LRP048b,23.530916,90.8043611,576.9999999999982,,,link,0.0
124,N1,LRP049,23.5316382,90.8099167,1000.0,,,link,0.0
125,N1,LRP050,23.5332493,90.8194716,594.0000000000011,,,link,0.0
126,N1,LRP050a,23.5346663,90.8249716,15.999999999998238,,,link,0.0
127,N1,LRP050b,23.5347219,90.8251104,390.00000000000057,,,link,0.0
128,N1,LRP051,23.5344997,90.8287216,1000.0,,,link,0.0
129,N1,LRP052,23.5292216,90.8365274,367.00000000000443,,,link,0.0
130,N1,LRP052a,23.5270549,90.8391386,632.9999999999956,,,link,0.0
131,N1,LRP053,23.523166,90.8438886,1000.0,,,link,0.0
132,N1,LRP054,23.5174993,90.8513889,1000.0,,,link,0.0
133,N1,LRP055,23.5170827,90.8607778,1000.0,,,link,0.0
134,N1,LRP056,23.5135833,90.8697771,64.00000000000006,,,link,0.0
135,N1,LRP056a,23.5133056,90.8703049,28.9,C,,bridge,2.0
136,N1,LRP056b,23.5131111,90.8706382,101.99999999999676,,,link,0.0
137,N1,LRP056c,23.5126667,90.871416,792.0000000000016,,,link,0.0
138,N1,LRP057,23.5088056,90.8778604,1000.0,,,link,0.0
139,N1,LRP058,23.506,90.8869163,922.0000000000041,,,link,0.0
140,N1,LRP058a,23.5056111,90.8958886,77.99999999999585,,,link,0.0
